Input_Text,,Source,,Summary
"The Uttar Pradesh police on Tuesday said it has arrested a person who duped ""hundreds of doctors"" across several states to the tune of crores of rupees on the pretext of arranging foreign travel packages, officials said.The accused, who identified himself as a medical representative of a leading pharmaceutical company, was arrested by the Noida unit of the Cyber Crime team from West Bengal, officials said.Inspector Reeta Yadav, in-charge of the Noida cyber crime police station in Noida, said the case against Vishal Pandey (31) was lodged over a complaint by a Greater Noida-based doctor who claimed a fraud of Rs 18.72 lakh with him.Pandey worked with Glenmark Pharmaceuticals as an FSO in Raipur, Chhattisgarh but lost his job in 2017 after demonetisation. He has an MBA degree and graduated from the Banaras Hindu University.",,https://www.ndtv.com/india-news/man-cheated-hundreds-of-doctors-of-crores-with-foreign-trip-bait-up-cops-3782729,,"The Noida cyber crime team arrested a man who duped ""hundreds of doctors"" across states of crores of rupees. The accused, Vishal Pandey, pretended to be a medical representative of a pharma company."
"Mega cities like Mumbai and New York will face serious impacts from rising sea levels, UN Secretary General Antonio Guterres warned on Tuesday, as he exhorted the global community to address climate crisis, which he said is the ""root cause of rising seas."" ""Rising seas are sinking futures. Sea-level rise is not only a threat in itself. It is a threat-multiplier. For the hundreds of millions of people living in small island developing states and other low-lying coastal areas around the world, sea-level rise is a torrent of trouble,"" Guterres said at the UN Security Council debate on 'Sea-Level Rise- Implications for International Peace and Security.' He asserted that rising seas threaten the very existence of some low-lying communities and even countries.",,https://www.ndtv.com/india-news/mumbai-to-new-york-rising-sea-levels-will-impact-mega-cities-un-chief-3783003,,"According to UN Secretary General Antonio Guterres, mega cities like New York and Mumbai will face severe impacts from rising sea levels due to climate change. He urged the global community to address the root cause of rising seas"
"The Union Housing and Urban Affairs Ministry has decided to take over 123 properties of the Delhi Waqf Board, including mosques, dargahs and graveyards, evoking a sharp reaction from board chairman and AAP MLA Amanatullah Khan.Mr Khan asserted that he will not allow the central government to take over the Waqf properties.The deputy land and development officer, in a letter to the board on February 8, informed it of the decision to ""absolve"" it from all matters pertaining to the 123 Waqf properties.The Land and Development Office (L&DO) of the central ministry said the two-member committee headed by Justice (retired) SP Garg on the issue of denotified Waqf properties in its report submitted that no representation or objection was received by it from the Delhi Waqf Board.",,https://www.ndtv.com/delhi-news/centre-to-take-over-123-delhi-waqf-board-properties-wont-allow-says-aap-mla-amanatullah-khan-3793074,,"The Union Housing and Urban Affairs Ministry has decided to take over 123 properties of the Delhi Waqf Board, including mosques, dargahs, and graveyards, which led to a sharp reaction from the board chairman Amanatullah Khan."
"Strange food recipes became viral trends last year. Continuing the same, in one such instance, social media users have been stunned by Thailand's ""unique street food"" at a time when we were still attempting to comprehend the weird food combinations or get over horrifying culinary trials.A video of a woman making pasta with black spaghetti in Thailand was posted on Instagram by page Our Collection. The woman can be seen placing the unusual black noodles in a pan. Then she sprinkles what looks like salt on them. She then starts frying it in a pan with vegetables and other ingredients. When the pasta is ready to be served, she thoroughly mixes it with all the other ingredients before putting it on a plate.Ã‚ Watch the video below:Ã‚ A post shared by Our Collection (@ourcollecti0n)The video was captioned as, ""UNIQUE Street Food of Thailand.",,https://www.ndtv.com/offbeat/watch-thailands-unique-black-noodles-goes-viral-internet-reacts-3793077,,A video of a woman making pasta with black spaghetti in Thailand has gone viral on social media. She fries the black noodles in a pan with vegetables and other ingredients and mixes them before serving.
"India is moving ahead to record the largest number of cashless transactions in the world, External Affairs Minister S Jaishankar said today at the 'Raisina@Sydney' Business Breakfast.""If you look at our cashless transactions, the UPI, I think we record the largest number of cashless transactions in the world. So there's been a kind of a technology leapfrogging in the psyche of people, and that's been actually a very big difference,"" Mr Jaishankar said at the Raisina@Sydney Business Breakfast.Raisina@Sydney Business Breakfast was organized jointly by the Australian Strategic Policy Institute (ASPI) and India's Observer Research Foundation (ORF) at the InterContinental Hotel in Sydney.""The digital was ensuring the integrity of delivery and transaction that would not have been possible equally on the financial side because we encouraged people to open bank accounts, sometimes bank accounts with no money.",,https://www.ndtv.com/india-news/india-records-largest-number-of-cashless-transactions-in-world-s-jaishankar-3793035,,External Affairs Minister S Jaishankar said India is moving ahead to record the largest number of cashless transactions in the world.
"Sapna Gill who was arrested in a case of an alleged attack on cricketer Prithvi Shaw's car, was produced before the Andheri court on Friday where the court sent her in police custody till February 20.It was argued on behalf of Sapna Gill's lawyer referring to media reports that Prithvi Shaw has a habit of alcohol and that is why he has been banned by the BCCI.""Sapna didn't say anything like give Rs 50,000 and end the case. There is no proof of this. Sapna is an influencer, after 15 hours Prithvi Shaw gets the complaint done through his friend in the police..why it was not done on the same day?"" the lawyer argued.Accused Sapna Gill said in court that she did not even know who Prithvi Shaw was.""My friend had asked him for the selfie.",,https://www.ndtv.com/india-news/selfie-row-didnt-even-know-who-prithvi-shaw-is-accused-sapna-gill-tells-court-3792992,,"Sapna Gill, who was arrested in a case of an alleged attack on cricketer Prithvi Shaw's car, has been sent to police custody till February 20."
"Nationalist Congress Party (NCP) Chief Sharad Pawar remarked on the loss of the ""bow and arrow"" symbol of his ally Uddhav Thackeray faction on Friday, stating that it would not have any major impact.He also stressed that the people would accept the new symbol.Mr Pawar's remarks came after Election Commission of India (ECI) ordered that the party name ""Shiv Sena"" and the party symbol ""Bow and Arrow"" will be given to the Eknath Shinde faction.The NCP chief asked Mr Thackeray to accept the Election Commission's decision and take a new symbol.""It's the decision of the Election Commission. Once a decision is given, there can be no discussion. Accept it and take a new symbol. It (the loss of the old symbol) is not going to have any major impact as people will accept (the new symbol).",,https://www.ndtv.com/india-news/sharad-pawar-tells-uddhav-thackeray-to-accept-it-and-take-a-new-party-symbol-3792931,,"Sharad Pawar, NCP Chief, stated that the loss of the ""bow and arrow"" symbol of ally Uddhav Thackeray's faction would not have any major impact, and people would accept the new symbol given by the Election Commission."
"Twelve cheetahs from South Africa will arrive inÃ‚ Madhya Pradesh today, months after eight big cats had been ferried from Namibia.Ã‚ The cheetahs - seven males and five females - will be released into their quarantine enclosures atÃ‚ the Kuno National Park by Madhya Pradesh Chief Minister Shivraj Singh Chouhan and Environment Minister Bhupender Yadav.An aircraft carrying the cheetahs will land at the Gwalior Air Force base at 10 am. They will then be taken to Kuno National ParkÃ‚ in helicopters.For the first time in history, South Africa will be translocating 12 cheetahs to India as part of an initiative to expand the cheetah meta-population & to reintroduce the mammals in the country.#SACheetahstoIndiapic.twitter.com/HvKpEHUDBa10 quarantine enclosuresÃ‚ have been created at the reserve for the big cats, officials said.Ã‚ As per Indian wildlife laws, the animals are required to be kept in isolation for 30 days after arrival in the country.",,https://www.ndtv.com/india-news/12-cheetahs-from-south-africa-take-off-for-madhya-pradesh-3793020,,"Twelve cheetahs from South Africa, seven males and five females, are being flown to Madhya Pradesh's Kuno National Park as part of an initiative to expand the cheetah meta-population. This is the first time South Africa is translocating cheetahs to India. They will be kept in isolation for 30 days after arrival as per Indian wildlife laws.



"
"Argentina broke records for heat and cold within a short window of just five days this week, with temperatures plummeting a jaw-dropping 30 degrees Celsius as a heatwave gave way to historic snowfalls.A cold front from Patagonia caused temperatures in Buenos Aires to drop from a high of 38.1 C (100.6 degrees Fahrenheit) last Sunday to only 7.9C (46.2F) on Thursday -- a record low for the month of February since 1951, the National Meteorological Service reported.The lowest ever was 4.2C in 1910.The South American country this week battled its eighth heat wave so far this summer with temperatures shooting up to nearly 40C (104F) in the center and north.",,https://www.ndtv.com/world-news/heatwave-to-snowfall-argentinas-heat-and-cold-records-broken-in-5-days-3792969,,Argentina experienced record-breaking heat followed by a 30 degree Celsius drop due to a cold front from Patagonia. The country battled its eighth heat wave this summer with temperatures reaching 40C. The sudden drop in temperature resulted in historic snowfalls.
"Microsoft's nascent Bing chatbot turning testy or even threatening is likely because it essentially mimics what it learned from online conversations, analysts and academics said on Friday.Tales of disturbing exchanges with the chatbot that have captured attention this week include the artificial intelligence (AI) issuing threats and telling of desires to steal nuclear code, create a deadly virus, or to be alive.""I think this is basically mimicking conversations that it's seen online,"" said Graham Neubig, an associate professor at Carnegie Mellon University's language technologies institute.""So once the conversation takes a turn, it's probably going to stick in that kind of angry state, or say 'I love you' and other things like this, because all of this is stuff that's been online before.""A chatbot, by design, serves up words it predicts are the most likely responses, without understanding meaning or context.",,https://www.ndtv.com/world-news/angry-bing-chatbot-just-mimicking-humans-say-experts-3792966,,"Analysts and academics suggest that Microsoft's Bing chatbot turning testy or threatening is due to mimicking conversations it learned from online. As a chatbot, it serves up words it predicts as likely responses without understanding meaning or context, resulting in disturbing exchanges.


"
"Authorities have approved a plan for shooters carried by helicopter to kill dozens of feral cattle damaging habitats and menacing hikers in New Mexico's Gila Wilderness, the USÃ‚ Forest Service said this week.The four-day cull, due to begin on Thursday, will target about 150 stray or unbranded cows that environmentalists say destroy the ecosystems of endangered species among the Gila's soaring mountains and precipitous canyons.The hunt may yet face a legal challenge from ranchers who have said that shooting cattle from the air is a cruel and inefficient way to manage the population.Forest Supervisor Camille Howes said the cull, the second in as many years, is the most humane way to protect wildlife habitats and the public.""The feral cattle in the Gila Wilderness have been aggressive towards wilderness visitors, graze year-round, and trample stream banks and springs,"" Howes said in a statement.",,https://www.ndtv.com/world-news/why-helicopter-shooters-plan-to-kill-stray-cows-in-uss-new-mexico-3792952,,"US Forest Service has approved a plan to cull 150 feral cattle in New Mexico's Gila Wilderness, with shooters carried by helicopter. The cull aims to protect endangered species and public safety, though it may face legal challenges from ranchers."
