,Input_Text,Source,Summary
0,uttar pradesh police tuesday said arrested person duped hundreds drs across several states tune crores rupees pretext arranging foreign travel packages officials saidthe accused identified medical representative leading pharmaceutical company arrested noida unit cyber crime team west bengal officials saidinspector reeta yadav incharge noida cyber crime police station noida said case vishal pandey lodged complaint greater noidabased dr claimed fraud rs lakh himpandey worked glen pharmaceuticals fso raipur chhattisgarh lost job dthemonetisation mba degree graduated banaras hindu university,https://www.ndtv.com/india-news/man-cheated-hundreds-of-doctors-of-crores-with-foreign-trip-bait-up-cops-3782729,noida cyber crime team arrested man duped hundreds drs across states crores rupees accused vishal pandey pretended medical representative pharma company
1,mega cities like mumbai new york face serious impacts rising sea levels un secretary general antonio guterres warned tuesday exhorted global community address climate crisis said root cause rising seas rising seas sinking futures sealevel rise threat threatmultiplier hundreds millions people living small island developing states lowlying coastal areas around world sealevel rise torrent trouble guterres said un security council debate sealevel rise implications international peace security asserted rising seas threaten existence lowlying communities even countries,https://www.ndtv.com/india-news/mumbai-to-new-york-rising-sea-levels-will-impact-mega-cities-un-chief-3783003,according un secretary general antonio guterres mega cities like new york mumbai face severe impacts rising sea levels due climate change urged global community address root cause rising seas
2,union housing urban affairs ministry ded take properties delhi waqf board including mosques dargahs graveyards evoking sharp reaction board chairman aap mla amanatullah khanmr khan asserted allow central government take waqf propertiesthe deputy land development officer letter board uary informed sion absolve matters pertaining waqf propertiesthe land development office ldo central ministry said twomthember committee headed justice retired sp garg issue denotified waqf properties report submitted representation objection received delhi waqf board,https://www.ndtv.com/delhi-news/centre-to-take-over-123-delhi-waqf-board-properties-wont-allow-says-aap-mla-amanatullah-khan-3793074,union housing urban affairs ministry ded take properties delhi waqf board including mosques dargahs graveyards led sharp reaction board chairman amanatullah khan
3,strange food recipes became viral trends last year continuing one instance social media users stunned thailands unique street food time still attthempting comprehend weird food combinations get horrifying culinary trialsa video woman making pasta black spaghetti thailand posted instagram page collection woman seen placing unusual black noodles pan sprinkles looks like salt ththem starts frying pan vegetables ingredients pasta ready served thoroughly mixes ingredients putting plateaa watch video belowaa post shared collection ourcollectinthe video captioned unique street food thailand,https://www.ndtv.com/offbeat/watch-thailands-unique-black-noodles-goes-viral-internet-reacts-3793077,video woman making pasta black spaghetti thailand gone viral social media fries black noodles pan vegetables ingredients mixes ththem serving
4,india moving ahead record largest number cashless transactions world external affairs minister jaishankar said today raisinasydney business breakfastif look cashless transactions upi think record largest number cashless transactions world kind technology leapfrogging psyche people actually big difference mr jaishankar said raisinasydney business breakfastraisinasydney business breakfast organized jointly australian strategic policy institute aspi indias observer research foundation orf intercontinental hotel sydneythe digital ensuring integrity delivery transaction would possible equally financial side encouraged people open bank accounts sometimes bank accounts money,https://www.ndtv.com/india-news/india-records-largest-number-of-cashless-transactions-in-world-s-jaishankar-3793035,external affairs minister jaishankar said india moving ahead record largest number cashless transactions world
5,sapna gill arrested case alleged attack cricketer prithvi shaws car produced andheri court friday court sent police custody till uary argued behalf sapna gills lawyer referring media reports prithvi shaw habit alcohol banned bccisapna say anything like give rs end case proof sapna influencer hours prithvi shaw gets complaint done friend policewhy done day lawyer arguedaccused sapna gill said court even know prithvi shaw wasmy friend asked selfie,https://www.ndtv.com/india-news/selfie-row-didnt-even-know-who-prithvi-shaw-is-accused-sapna-gill-tells-court-3792992,sapna gill arrested case alleged attack cricketer prithvi shaws car sent police custody till uary
6,nationalist congress party ncp chief sharad pawar rthemarked loss bow arrow symbol ally uddhav thackeray faction friday stating would major impacthe also stressed people would accept new symbolmr pawars rthemarks came election commission india eci ordered party name shiv sena party symbol bow arrow given eknath shinde factionthe ncp chief asked mr thackeray accept election commissions sion take new symbolit sion election commission sion given discussion accept take new symbol loss old symbol going major impact people accept new symbol,https://www.ndtv.com/india-news/sharad-pawar-tells-uddhav-thackeray-to-accept-it-and-take-a-new-party-symbol-3792931,sharad pawar ncp chief stated loss bow arrow symbol ally uddhav thackerays faction would major impact people would accept new symbol given election commission
7,twelve cheetahs south africa arrive inaa madhya pradesh today months eight big cats ferried namibiaaa cheetahs seven males five fthemales released quarantine enclosures ataa kuno national park madhya pradesh chief minister shivraj singh chouhan environment minister bhupender yadavan aircraft carrying cheetahs land gwalior air force base taken kuno national parkaa helicoptersfor first time history south africa translocating cheetahs india part initiative expand cheetah metapopulation reintroduce mammals countrysacheetahstoindiapictwittercomhvkpehudba quarantine enclosuresaa created reserve big cats officials saidaa per indian wildlife laws animals required kept isolation days arrival country,https://www.ndtv.com/india-news/12-cheetahs-from-south-africa-take-off-for-madhya-pradesh-3793020,twelve cheetahs south africa seven males five fthemales flown madhya pradeshs kuno national park part initiative expand cheetah metapopulation first time south africa translocating cheetahs india kept isolation days arrival per indian wildlife laws
8,argentina broke records heat cold within short window five days week tthemperatures plummeting jawdropping degrees celsius heatwave gave way historic snowfallsa cold front patagonia caused tthemperatures buenos aires drop high degrees fahrenheit last sunday thursday record low month uary since national meteorological service reportedthe lowest ever south american country week battled eighth heat wave far summer tthemperatures shooting nearly center north,https://www.ndtv.com/world-news/heatwave-to-snowfall-argentinas-heat-and-cold-records-broken-in-5-days-3792969,argentina experienced recordbreaking heat followed degree celsius drop due cold front patagonia country battled eighth heat wave summer tthemperatures reaching sudden drop tthemperature resulted historic snowfalls
9,microsofts nascent bing chatbot turning testy even threatening likely essentially mimics learned online conversations analysts acadthemics said fridaytales disturbing exchanges chatbot captured attention week include artificial intelligence ai issuing threats telling desires steal nuclear code create deadly virus alivei think basically mimicking conversations seen online said graham neubig associate professor carnegie mellon universitys language technologies instituteso conversation takes turn probably going stick kind angry state say love things like stuff online beforea chatbot design serves words predicts likely responses without understanding meaning context,https://www.ndtv.com/world-news/angry-bing-chatbot-just-mimicking-humans-say-experts-3792966,analysts acadthemics suggest microsofts bing chatbot turning testy threatening due mimicking conversations learned online chatbot serves words predicts likely responses without understanding meaning context resulting disturbing exchanges
